GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A009F031	J504_0988	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009F031	J504_0988	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	1310605	UniProt		C
UniProtKB	A0A009F040	J504_0982	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009F040	J504_0982	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	1310605	UniProt		C
UniProtKB	A0A009F0D8	lpxA	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	1310605	UniProt		C
UniProtKB	A0A009F0H0	mnmG	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	1310605	UniProt		C
UniProtKB	A0A009F0K4	brnQ	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009F0K4	brnQ	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0037	1310605	UniProt		C
UniProtKB	A0A009F0K8	ftsB	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0037	1310605	UniProt		C
UniProtKB	A0A009F0P3	coq7	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	1310605	UniProt		C
UniProtKB	A0A009F0T1	lipA	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	1310605	UniProt		C
UniProtKB	A0A009F0X7	iscS	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	1310605	UniProt		C
UniProtKB	A0A009F133	J504_0781	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009F154	secD	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009F154	secD	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	1310605	UniProt		C
UniProtKB	A0A009F181	queA	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	1310605	UniProt		C
UniProtKB	A0A009F1E3	J504_3019	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	1310605	UniProt		C
UniProtKB	A0A009F1F8	uup	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	1310605	UniProt		C
UniProtKB	A0A009F1M2	surA	located_in	GO:0042597	periplasmic space	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0200	1310605	UniProt		C
UniProtKB	A0A009F1M6	gspJ	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009F1M6	gspJ	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0037	1310605	UniProt		C
