molecule_chembl_id,M,N
CHEMBL101733,1,3705
CHEMBL101734,1,3705
CHEMBL101739,3,3705
CHEMBL10174,1,3705
CHEMBL101740,1,3705
CHEMBL101742,2,3705
CHEMBL101743,2,3705
CHEMBL101747,1,3705
CHEMBL101748,3,3705
CHEMBL10175,1,3705
CHEMBL101751,1,3705
CHEMBL101752,1,3705
CHEMBL101756,1,3705
CHEMBL101759,4,3705
CHEMBL10176,1,3705
CHEMBL101763,1,3705
CHEMBL101764,1,3705
CHEMBL101766,1,3705
CHEMBL101771,2,3705
CHEMBL101774,1,3705
CHEMBL101775,1,3705
CHEMBL101785,1,3705
CHEMBL101787,2,3705
CHEMBL101789,1,3705
CHEMBL101791,1,3705
CHEMBL101792,1,3705
CHEMBL101797,3,3705
CHEMBL1018,3,3705
CHEMBL10180,2,3705
CHEMBL101801,2,3705
CHEMBL101803,1,3705
CHEMBL101804,2,3705
CHEMBL101805,1,3705
CHEMBL101806,1,3705
CHEMBL101807,2,3705
CHEMBL101809,2,3705
CHEMBL10181,1,3705
CHEMBL101810,2,3705
CHEMBL101812,1,3705
CHEMBL101813,1,3705
CHEMBL101818,1,3705
CHEMBL101819,2,3705
CHEMBL101822,1,3705
CHEMBL101824,1,3705
CHEMBL101826,1,3705
CHEMBL101828,1,3705
CHEMBL101831,1,3705
CHEMBL101835,5,3705
CHEMBL101836,1,3705
CHEMBL101841,1,3705
CHEMBL101849,2,3705
CHEMBL101852,1,3705
CHEMBL101855,2,3705
CHEMBL101863,1,3705
CHEMBL101864,4,3705
CHEMBL101865,1,3705
CHEMBL101866,1,3705
CHEMBL101869,3,3705
CHEMBL10187,1,3705
CHEMBL101873,1,3705
CHEMBL101874,2,3705
CHEMBL101877,1,3705
CHEMBL10188,8,3705
CHEMBL101883,1,3705
CHEMBL101885,1,3705
CHEMBL101886,1,3705
CHEMBL101887,1,3705
CHEMBL10189,1,3705
CHEMBL101890,1,3705
CHEMBL101891,1,3705
CHEMBL101892,3,3705
CHEMBL101899,4,3705
CHEMBL1019,1,3705
CHEMBL101905,3,3705
CHEMBL101907,3,3705
CHEMBL101909,1,3705
CHEMBL101910,1,3705
CHEMBL101914,4,3705
CHEMBL101917,1,3705
