acc,gene
P49419,ALDH7A1
Q9H2A2,ALDH8A1
P49189,ALDH9A1
P04075,ALDOA
P05062,ALDOB
P09972,ALDOC
Q9BT22,ALG1
Q5BKT4,ALG10
Q5I7T1,ALG10B
Q2TAA5,ALG11
Q9BV10,ALG12
Q9NP73,ALG13
Q96F25,ALG14
Q6GMV1,ALG1L
C9J202,ALG1L2
Q9H553,ALG2
Q92685,ALG3
Q9Y673,ALG5
Q9Y672,ALG6
Q9BVK2,ALG8
Q9H6U8,ALG9
Q9UM73,ALK
Q6UXT8,ALKAL1
Q6UX46,ALKAL2
Q13686,ALKBH1
Q6NS38,ALKBH2
Q96Q83,ALKBH3
Q9NXW9,ALKBH4
Q6P6C2,ALKBH5
Q3KRA9,ALKBH6
Q9BT30,ALKBH7
Q96BT7,ALKBH8
Q8N6M5,ALLC
Q8TCU4,ALMS1
P18054,ALOX12
O75342,ALOX12B
P16050,ALOX15
O15296,ALOX15B
P09917,ALOX5
P20292,ALOX5AP
Q9BYJ1,ALOXE3
P10696,ALPG
P09923,ALPI
Q96QP1,ALPK1
Q86TB3,ALPK2
Q96L96,ALPK3
P05186,ALPL
P05187,ALPP
Q96Q42,ALS2
Q60I27,ALS2CL
Q15699,ALX1
O95076,ALX3
Q9H161,ALX4
Q86V81,ALYREF
Q9UHK6,AMACR
Q9NP70,AMBN
P02760,AMBP
Q9C0C7,AMBRA1
P17707,AMD1
Q96NU7,AMDHD1
Q9Y303,AMDHD2
Q99217,AMELX
Q99218,AMELY
Q5JTC6,AMER1
Q8N7J2,AMER2
Q8N944,AMER3
Q9UKV5,AMFR
P03971,AMH
Q16671,AMHR2
Q86WK6,AMIGO1
Q86SJ2,AMIGO2
Q86WK7,AMIGO3
Q9Y4X0,AMMECR1
Q6DCA0,AMMECR1L
Q9BXJ7,AMN
Q8IY45,AMN1
Q4VCS5,AMOT
Q8IY63,AMOTL1
Q9Y2J4,AMOTL2
P23109,AMPD1
Q01433,AMPD2
Q01432,AMPD3
P49418,AMPH
P48728,AMT
Q6UX39,AMTN
P04745,AMY1A
P04746,AMY2A
P19961,AMY2B
Q400G9,AMZ1
Q86W34,AMZ2
Q9H1A4,ANAPC1
Q9UM13,ANAPC10
Q9NYG5,ANAPC11
Q9BS18,ANAPC13
P60006,ANAPC15
Q96DE5,ANAPC16
Q9UJX6,ANAPC2
Q9UJX5,ANAPC4
Q9UJX4,ANAPC5
Q9UJX3,ANAPC7
P03950,ANG
Q9UNK9,ANGEL1
Q5VTE6,ANGEL2
Q15389,ANGPT1
O15123,ANGPT2
Q9Y264,ANGPT4
O95841,ANGPTL1
Q9UKU9,ANGPTL2
Q9Y5C1,ANGPTL3
Q9BY76,ANGPTL4
Q86XS5,ANGPTL5
Q8NI99,ANGPTL6
O43827,ANGPTL7
Q6UXH0,ANGPTL8
E9PGG2,ANHX
P16157,ANK1
Q01484,ANK2
Q12955,ANK3
Q7Z5J8,ANKAR
Q495B1,ANKDD1A
A6NHY2,ANKDD1B
Q9NU02,ANKEF1
Q8N957,ANKFN1
Q9P2R3,ANKFY1
Q9HCJ1,ANKH
Q8IWZ3,ANKHD1
Q9P2G1,ANKIB1
Q8NFD2,ANKK1
